dataset,sweep,lr,w1,w2,lambda_temp,run,seed,acc,nmi,ari,macro_f1,micro_f1,macro_precision,micro_precision,macro_recall,micro_recall
hhar,w1,0.001,0.05,0.0,0.1,4,202505,0.8912515778230896,0.8330288684869197,0.7864627772928225,0.8904095619766021,0.8912515778230896,0.9021576792485734,0.8912515778230896,0.890489318167646,0.8912515778230896
hhar,w1,0.001,0.05,0.0,0.1,5,202506,0.860083503252743,0.7939065492900064,0.7410594358831529,0.8594884198961065,0.860083503252743,0.8652549672418918,0.860083503252743,0.861193693531238,0.860083503252743
hhar,w1,0.001,0.05,0.0,0.1,6,202507,0.8795999611612778,0.8152988866186895,0.7678930554741675,0.8791944238006416,0.8795999611612778,0.8883642159962136,0.8795999611612778,0.8795311476490643,0.8795999611612778
hhar,w1,0.001,0.05,0.0,0.1,7,202508,0.8819302844936402,0.8465806444151793,0.7803365890456233,0.8774108813116296,0.8819302844936402,0.9122017950260889,0.8819302844936402,0.8807291115144666,0.8819302844936402
hhar,w1,0.001,0.05,0.0,0.1,8,202509,0.7968734828624138,0.8166601558577893,0.7277027852113431,0.7418509848130502,0.7968734828624138,0.7089349966490741,0.7968734828624138,0.7982174116434498,0.7968734828624138
hhar,w1,0.001,0.05,0.0,0.1,9,202510,0.7982328381396252,0.8223575515814576,0.7315277459654379,0.7438376194312505,0.7982328381396252,0.7113183653608045,0.7982328381396252,0.7998800318042386,0.7982328381396252
hhar,w1,0.001,0.05,0.0,0.1,10,202511,0.8891154481017575,0.8286303576292229,0.7826898508298535,0.8873363287574891,0.8891154481017575,0.9023373363946653,0.8891154481017575,0.8884612936128217,0.8891154481017575
hhar,w1,0.001,0.1,0.0,0.1,1,202502,0.7826973492572095,0.8007274008774268,0.7104760773264595,0.7265747869517535,0.7826973492572095,0.6944186212922882,0.7826973492572095,0.782291947701902,0.7826973492572095
hhar,w1,0.001,0.1,0.0,0.1,2,202503,0.7934750946693854,0.8138130718373363,0.7244860674269159,0.738265499765198,0.7934750946693854,0.7053234551978482,0.7934750946693854,0.7944393460130525,0.7934750946693854
hhar,w1,0.001,0.1,0.0,0.1,3,202504,0.7948344499465968,0.8189818761401315,0.7270811925337368,0.7399048282616175,0.7948344499465968,0.7077099320902976,0.7948344499465968,0.7957962164942517,0.7948344499465968
hhar,w1,0.001,0.1,0.0,0.1,4,202505,0.7851247693950869,0.8027348802339562,0.7111038632395715,0.7288766013251045,0.7851247693950869,0.6955307976692026,0.7851247693950869,0.7853319792471388,0.7851247693950869
hhar,w1,0.001,0.1,0.0,0.1,5,202506,0.8339644625691814,0.7663052077319735,0.7004653659953484,0.8319374472348162,0.8339644625691814,0.8337897955178852,0.8339644625691814,0.8336215993043986,0.8339644625691814
hhar,w1,0.001,0.1,0.0,0.1,6,202507,0.7828915428682396,0.7895635805823681,0.7001607841408602,0.724587248972446,0.7828915428682396,0.6893208992104446,0.7828915428682396,0.7822308887551874,0.7828915428682396
hhar,w1,0.001,0.1,0.0,0.1,7,202508,0.8802796387998835,0.8133381720351311,0.7672439936793841,0.8793267647079674,0.8802796387998835,0.8859399417357824,0.8802796387998835,0.8794608534527663,0.8802796387998835
hhar,w1,0.001,0.1,0.0,0.1,8,202509,0.794154772307991,0.814189512583758,0.7249044140965573,0.7390550810850806,0.794154772307991,0.7058880167187725,0.794154772307991,0.7953226606484707,0.794154772307991
hhar,w1,0.001,0.1,0.0,0.1,9,202510,0.7915331585590835,0.8240815996207329,0.7312891332309835,0.7382925774837331,0.7915331585590835,0.7087565274000837,0.7915331585590835,0.7923355669780667,0.7915331585590835
